Date,Threat Name,Temperature (°C),Precipitation (mm),Threat Type,Wildlife Affected,Severity
08 February,Landslide,32,274,Natural,Low,4
08 February,Overgrazing,26,280,Human Made,Medium,7
08 February,Deforestation,27,583,Human Made,Low,9
08 February,Storm,39,613,Natural,Medium,4
08 February,Drought,47,327,Natural,Medium,8
08 February,Landslide,5,672,Natural,High,2
08 February,Flood,3,553,Natural,Medium,6
08 February,Flood,13,240,Natural,Low,3
08 February,Fire,31,232,Natural,Low,9
08 February,Overgrazing,33,315,Human Made,Medium,5
08 February,Earthquake,6,513,Natural,Medium,8
08 February,Fire,40,599,Natural,Medium,3
08 February,Pollution,11,538,Human Made,Low,9
08 February,Deforestation,45,452,Human Made,High,8
08 February,Fire,36,529,Natural,High,8
08 February,Pollution,10,543,Human Made,High,6
08 February,Drought,45,340,Natural,Low,2
08 February,Lightning,11,550,Natural,Medium,5
08 February,Storm,45,149,Natural,High,2
08 February,Overgrazing,27,443,Human Made,Medium,7
08 February,Overgrazing,40,509,Human Made,Medium,5
08 February,Flood,17,16,Natural,Medium,7
08 February,Overgrazing,3,157,Human Made,Medium,4
08 February,Flood,22,361,Natural,High,2
08 February,Poaching,22,324,Human Made,High,8
08 February,Deforestation,21,236,Human Made,Medium,10
08 February,Landslide,30,596,Natural,Medium,6
08 February,Storm,48,322,Natural,Medium,5
08 February,Poaching,38,72,Human Made,Medium,6
08 February,Landslide,25,359,Natural,High,10
08 February,Overgrazing,22,261,Human Made,Low,4
08 February,Storm,33,398,Natural,Medium,8
08 February,Earthquake,24,424,Natural,High,8
08 February,Storm,12,338,Natural,High,9
08 February,Disease,14,417,Natural,Medium,9
08 February,Poaching,44,401,Human Made,High,7
08 February,Drought,27,457,Natural,Low,7
08 February,Flood,18,386,Natural,Low,10
08 February,Storm,41,155,Natural,Low,10
08 February,Storm,24,57,Natural,Low,4
08 February,Deforestation,11,552,Human Made,High,4
08 February,Overgrazing,7,236,Human Made,Medium,8
08 February,Drought,40,195,Natural,Medium,6
08 February,Overgrazing,26,262,Human Made,Medium,5
08 February,Poaching,8,642,Human Made,Low,4
08 February,Poaching,38,676,Human Made,High,10
08 February,Pollution,41,271,Human Made,Medium,6
08 February,Deforestation,34,368,Human Made,Low,8
08 February,Landslide,8,432,Natural,Low,10
08 February,Poaching,48,692,Human Made,Medium,2
08 February,Overgrazing,17,650,Human Made,High,5
08 February,Overgrazing,42,314,Human Made,High,3
08 February,Earthquake,34,683,Natural,High,2
08 February,Overgrazing,37,320,Human Made,Low,9
08 February,Fire,41,13,Natural,High,10
08 February,Drought,5,510,Natural,Low,4
08 February,Lightning,2,207,Natural,High,2
08 February,Flood,40,434,Natural,Medium,9
08 February,Drought,37,417,Natural,Medium,5
08 February,Earthquake,27,545,Natural,Medium,6
08 February,Overgrazing,29,244,Human Made,Medium,5
08 February,Fire,36,506,Natural,Medium,5
08 February,Earthquake,39,208,Natural,Low,9
08 February,Deforestation,32,412,Human Made,High,8
08 February,Flood,25,103,Natural,Medium,6
08 February,Overgrazing,41,634,Human Made,Medium,6
08 February,Earthquake,39,573,Natural,High,10
08 February,Pollution,41,112,Human Made,High,3
08 February,Drought,2,358,Natural,Low,1
08 February,Poaching,15,354,Human Made,Low,6
08 February,Overgrazing,9,93,Human Made,Low,6
08 February,Deforestation,19,400,Human Made,Medium,7
08 February,Poaching,20,571,Human Made,Low,9
08 February,Storm,10,114,Natural,Low,10
08 February,Landslide,15,379,Natural,Medium,6
08 February,Overgrazing,33,605,Human Made,High,9
08 February,Lightning,17,110,Natural,High,6
